file_index,avg_pitch,pitch_deviation,max_range,tempo,avg_intensity,intensity_deviation
0,59.32067510548523,8.619221485132753,31,92,145.22222222222223,49.012224556347874
0,58.95291375291375,10.614065618128683,40,92,138.12867132867132,53.54184685304663
0,63.37826961770624,11.661807628611568,50,92,130.67069081153588,56.65852690891198
0,61.17465224111283,11.58473014955251,50,92,133.8110510046368,57.02158206055212
0,63.42186452045607,11.623124087744658,50,92,130.62105969148223,56.71785807868625
0,61.15758980301275,11.593702812540611,50,92,134.33951332560835,57.40856187999248
0,65.01367434793619,11.287459921419115,50,86,128.64927829830336,59.25553858489823
1,64.01569506726457,8.443148061034973,48,114,133.06409928985454,62.59722591953824
1,57.89216799091941,14.503698536451013,60,114,121.22558115594398,58.68557478563937
1,58.85867620751342,14.188788149800423,60,114,118.53429643110796,60.15050894161811
1,58.624354243542435,14.243527598791577,60,114,120.20864137653803,57.37806417676218
1,58.83916083916084,14.13437857038177,48,114,120.72103458180148,67.74204048416667
1,59.189516129032256,14.131119771710523,48,114,115.48001810570857,69.06645965668801
1,59.55153083225528,14.134229796745032,48,114,118.00767389044061,65.37363338139627
2,54.86594202898551,11.02468242913627,48,175,88.57971014492753,31.127789810179404
2,54.99160447761194,10.992489143724697,48,175,88.95522388059702,36.30773645440341
2,53.660914581535806,10.360863319410505,39,175,75.32010353753236,24.85048025548038
2,52.39468503937008,9.253363471231477,38,175,92.7244094488189,37.63535721685428
2,53.68615649183147,10.351951275080927,39,175,75.06104901117799,24.773690478291545
2,52.91561181434599,10.287220965952653,38,175,79.69057665260198,26.509556349874856
2,53.85627530364373,11.252997400653156,48,175,75.18502024291497,23.083938066532525
3,57.49075081610446,15.306220381024456,60,118,117.60228509249184,45.11785035341163
3,65.91956373551466,14.618542271128872,59,118,105.12201772324472,40.47119765997056
3,63.54621848739496,16.01461454828875,60,118,107.65011459129106,48.04673489169792
3,62.710552763819095,14.409469220343965,60,118,111.11256281407036,44.738492517950554
3,65.90324763193505,14.668579650591328,59,118,104.3660351826793,40.84585025096267
3,63.55530303030303,16.076803421125295,60,118,107.35227272727273,48.241023605133776
3,62.69613821138211,14.493345309393565,60,118,111.70934959349593,44.3813497287277
3,66.02715546503734,14.569936073653816,59,118,103.81602172437204,39.59169969299948
3,65.75,15.844478533546,59,118,104.085,47.79464169757944
3,60.045969773299745,14.461528138472849,59,118,99.92632241813602,43.62473343854039
3,63.64906303236797,16.332506804186668,59,118,107.3381601362862,49.15853045205932
